fcode,nama stasiun,kode stasiun,kd_prov,kabkot,provinsi,srs_id,objectid
,KOTABUMI,KB,18,KAB. LAMPUNG UTARA,LAMPUNG,,156
CD01050140,NEGARA RATU,NRR,18,KAB. LAMPUNG UTARA,LAMPUNG,WGS 1984,157
,TEGINENENG,TGI,18,KAB. LAMPUNG SELATAN,LAMPUNG,,158
CD01050140,TULUNG BUYUT,TLY,18,KAB. LAMPUNG UTARA,LAMPUNG,WGS 1984,159
CD01050140,BLAMBANGAN UMPU,BBU,18,KAB. WAY KANAN,LAMPUNG,WGS 1984,160
CD01050140,GIHAM,GHM,18,KAB. WAY KANAN,LAMPUNG,WGS 1984,161
CD01050140,NEGRI AGUNG,NGN,18,KAB. WAY KANAN,LAMPUNG,WGS 1984,162
CD01050140,WAY PISANG,WAP,18,KAB. WAY KANAN,LAMPUNG,WGS 1984,163
CD01050140,WAY TUBA,WAY,18,KAB. WAY KANAN,LAMPUNG,WGS 1984,164
CD01050140,Tanjung Rajo,TJO,18,KAB. WAY KANAN,LAMPUNG,WGS 1984,165
CD01050140,PIDADA,PID,18,KOTA BANDAR LAMPUNG,LAMPUNG,WGS 1984,166
CD01050140,LABUAN RATU,LAR,18,KOTA BANDAR LAMPUNG,LAMPUNG,WGS 1984,167
CD01050140,Panjang,PJN,18,KOTA BANDAR LAMPUNG,LAMPUNG,WGS 1984,168
CD01050140,TANJUNG KARANG,TNK,18,KOTA BANDAR LAMPUNG,LAMPUNG,WGS 1984,169
CD01050140,Bedono,BDN,33,KAB. SEMARANG,JAWA TENGAH,WGS 1984,486
CD01050140,Mampang,MPG,31,KOTA JAKARTA PUSAT,DKI JAKARTA,WGS 1984,181
CD01050140,CIPINANG,CPN,31,KOTA ADM. JAKARTA TIMUR,DKI JAKARTA,WGS 1984,215
CD01050140,Cijambe,CJB/CJE,32,KAB. SUKABUMI,JAWA BARAT,WGS 1984,230
CD01050140,Pondok Leungsir,PDL/PON,32,KAB. SUKABUMI,JAWA BARAT,WGS 1984,231
CD01050140,Labuan,LBU/LBN,36,KAB. PANDEGLANG,BANTEN,WGS 1984,765
CD01050140,Saketi,STI,36,KAB. PANDEGLANG,BANTEN,WGS 1984,766
CD01050140,Bayah,BYH/BAH,36,KAB. LEBAK,BANTEN,WGS 1984,769
CD01050140,Anyerkidul,ANK,36,KAB. SERANG,BANTEN,WGS 1984,780
CD01050140,Cilaku,CLK,32,KAB. CIANJUR,JAWA BARAT,WGS 1984,239
CD01050140,Maleber,MLB,32,KAB. CIANJUR,JAWA BARAT,WGS 1984,240
CD01050140,Selajambe,SLJ,32,KAB. CIANJUR,JAWA BARAT,WGS 1984,241
CD01050140,Dayeuhkolot,DYK,32,KAB. BANDUNG,JAWA BARAT,WGS 1984,251
CD01050140,Majalaya,MJY/MJA,32,KAB. BANDUNG,JAWA BARAT,WGS 1984,253
CD01050140,Soreang,SRG,32,KAB. BANDUNG,JAWA BARAT,WGS 1984,254
CD01050140,Cikajang,CK/CKG,32,KAB. GARUT,JAWA BARAT,WGS 1984,256
CD01050140,Cisurupan,CSN,32,KAB. GARUT,JAWA BARAT,WGS 1984,257
CD01050140,Pirusa,PRS,32,KAB. TASIKMALAYA,JAWA BARAT,WGS 1984,269
CD01050140,Tanjungsari,-,32,KAB. SUMEDANG,JAWA BARAT,WGS 1984,286
CD01050140,Cisomang,CG,32,KAB. PURWAKARTA,JAWA BARAT,WGS 1984,308
CD01050140,Sadang,SAD,32,KAB. PURWAKARTA,JAWA BARAT,WGS 1984,309
CD01050140,Raja Mandala,RM,32,KAB. BANDUNG BARAT,JAWA BARAT,WGS 1984,321
CD01050140,Cijulang,CIJ,32,KAB. PANGANDARAN,JAWA BARAT,WGS 1984,331
CD01050140,Kalipucang,KLC,32,KAB. PANGANDARAN,JAWA BARAT,WGS 1984,332
CD01050140,Pangandaran,PND,32,KAB. PANGANDARAN,JAWA BARAT,WGS 1984,333
CD01050140,Ciwidey,CWD,32,KOTA BANDUNG,JAWA BARAT,WGS 1984,347
CD01050140,Singaparna,SPN/SPA,32,KOTA TASIKMALAYA,JAWA BARAT,WGS 1984,361
CD01050140,Kaliwedi,KLW,32,KAB. CIREBON,JAWA BARAT,WGS 1984,280
CD01050140,Kadipaten,KAD,32,KAB. MAJALENGKA,JAWA BARAT,WGS 1984,285
CD01050140,Indramayu,IM,32,KAB. INDRAMAYU,JAWA BARAT,WGS 1984,289
CD01050140,Karangampel,KAP,32,KAB. INDRAMAYU,JAWA BARAT,WGS 1984,290
CD01050140,Bulakamba,BKA,33,KAB. BREBES,JAWA TENGAH,WGS 1984,510
CD01050140,Ketanggungan Barat,KGB,33,KAB. BREBES,JAWA TENGAH,WGS 1984,511
CD01050140,Godong,GOG,33,KAB. GROBOGAN,JAWA TENGAH,WGS 1984,438
CD01050140,Pengkol,-,33,KAB. GROBOGAN,JAWA TENGAH,WGS 1984,442
CD01050140,Purwodadi,PW,33,KAB. GROBOGAN,JAWA TENGAH,WGS 1984,443
CD01050140,Wirosari,WLS/WRS,33,KAB. GROBOGAN,JAWA TENGAH,WGS 1984,447
CD01050140,Blora,BLA,33,KAB. BLORA,JAWA TENGAH,WGS 1984,458
