fcode,nama stasiun,kode stasiun,kd_prov,kabkot,provinsi,srs_id,objectid
CD01050140,Limbanang,-,13,KAB. LIMA PULUH KOTA,SUMATERA BARAT,WGS 1984,74
CD01050140,Piladang,PLG,13,KAB. LIMA PULUH KOTA,SUMATERA BARAT,WGS 1984,75
CD01050140,PULAU AIR,PLA,13,KOTA PADANG,SUMATERA BARAT,WGS 1984,82
CD01050140,Teluk Bayur,TBY,13,KOTA PADANG,SUMATERA BARAT,WGS 1984,84
CD01050140,SINGKARAK,SKA,13,KAB. SOLOK,SUMATERA BARAT,WGS 1984,85
CD01050140,SOLOK,SLK,13,KOTA SOLOK,SUMATERA BARAT,WGS 1984,86
CD01050140,Kacang,KCN,13,KAB. SOLOK,SUMATERA BARAT,WGS 1984,87
CD01050140,Sungai Lassi,SNL,13,KAB. SOLOK,SUMATERA BARAT,WGS 1984,88
CD01050140,Silungkang,SLN,13,KOTA SAWAHLUNTO,SUMATERA BARAT,WGS 1984,91
CD01050140,PADANG PANJANG,PP,13,KOTA PADANG PANJANG,SUMATERA BARAT,WGS 1984,92
CD01050140,BUKIT TINGGI,BUK/BKT,13,KOTA BUKITTINGGI,SUMATERA BARAT,WGS 1984,93
CD01050140,Payakumbuh,-,13,KOTA PAYAKUMBUH,SUMATERA BARAT,WGS 1984,94
CD01050140,KURAI TADJI,KI,13,KOTA PARIAMAN,SUMATERA BARAT,WGS 1984,95
CD01050140,Talangpadang,TLP,16,KAB. MUARA ENIM,SUMATERA SELATAN,WGS 1984,120
CD01050140,Tanjung Terang,TTR,16,KAB. MUARA ENIM,SUMATERA SELATAN,WGS 1984,121
